neighbourhood,property_type,room_type,beds,price,review_scores_rating,date_difference
3,10,1,2.0,55,88.0,2226
3,10,1,2.0,55,93.0,2226
3,10,1,2.0,68,86.0,2226
1,0,0,3.0,195,95.0,2225
1,0,1,1.0,55,100.0,2225
2,0,0,2.0,300,92.05056465561094,2223
2,13,1,1.0,120,90.0,2223
2,0,0,1.0,135,95.0,2221
2,0,0,2.0,190,90.0,2218
2,0,1,1.0,95,96.0,2218
1,0,0,2.0,125,100.0,2217
1,0,1,2.0,29,83.0,2217
1,0,1,1.0,27,89.0,2217
1,0,1,1.0,39,87.0,2217
1,0,1,1.0,39,88.0,2217
1,0,1,1.0,39,90.0,2217
1,0,1,1.0,39,89.0,2217
1,0,1,1.0,35,85.0,2217
2,0,0,1.0,150,93.0,2216
1,0,1,1.0,84,100.0,2214
2,0,0,1.0,115,80.0,2212
2,0,0,1.0,249,95.0,2211
2,0,1,1.0,60,98.0,2206
2,0,0,1.0,140,95.0,2205
1,0,1,1.0,70,85.0,2205
1,0,1,1.0,70,81.0,2205
1,0,1,1.0,70,83.0,2205
2,0,0,1.0,130,85.0,2204
2,0,0,4.0,375,94.0,2204
2,0,0,4.0,375,84.0,2204
2,0,0,4.0,375,79.0,2204
2,0,0,2.0,130,84.0,2204
2,0,1,2.0,50,90.0,2204
2,0,1,1.0,50,88.0,2204
2,13,1,1.0,192,88.0,2203
2,13,1,1.0,199,92.0,2203
1,0,0,1.0,85,100.0,2202
1,0,0,1.0,79,88.0,2202
1,0,0,1.0,142,93.0,2199
2,0,0,1.0,165,84.0,2199
2,0,0,1.0,150,87.0,2199
2,0,0,1.0,169,85.0,2199
2,0,0,1.0,159,90.0,2199
2,0,0,1.0,159,86.0,2199
2,0,0,2.0,169,82.0,2199
2,0,0,1.0,169,90.0,2199
2,0,0,1.0,179,94.0,2199
1,0,1,1.0,89,84.0,2199
1,0,0,1.0,170,99.0,2196
2,0,0,1.0,160,96.0,2192
2,0,0,2.0,1000,92.05056465561094,2192
2,0,0,2.0,150,94.0,2191
2,0,0,2.0,110,60.0,2191
2,0,0,3.0,110,84.0,2191
2,0,0,2.0,140,85.0,2191
2,0,1,1.0,125,87.0,2191
2,0,1,1.0,100,88.0,2190
1,0,0,2.0,80,92.0,2188
1,0,0,1.0,131,83.0,2188
1,10,1,3.0,138,90.0,2188
1,10,1,1.0,60,94.0,2188
1,10,1,2.0,70,86.0,2188
1,10,1,2.0,60,93.0,2188
1,0,0,2.0,115,100.0,2184
2,0,0,1.0,113,96.0,2184
1,0,0,2.0,165,93.0,2182
1,0,1,1.0,95,91.0,2182
1,0,0,2.0,180,97.0,2180
1,0,0,1.0,160,91.0,2178
1,0,0,4.0,170,92.05056465561094,2177
1,0,0,4.0,122,85.0,2177
2,0,0,2.0,329,84.0,2176
1,0,1,1.0,75,92.05056465561094,2176
2,0,1,1.0,101,90.0,2176
2,0,1,1.0,130,93.0,2176
2,0,0,1.0,120,95.0,2174
1,10,1,1.0,110,95.0,2172
2,0,0,2.0,160,98.0,2171
2,0,1,1.0,125,92.05056465561094,2171
1,0,0,4.0,135,100.0,2170
2,0,1,1.0,89,98.0,2170
1,0,0,2.0,475,100.0,2167
1,0,1,1.0,150,92.05056465561094,2167
1,0,1,1.0,300,92.05056465561094,2167
